lakk,ka'umsa,ka'umsa,ga'umsa,nama,a,a,a,a,d,s
couch grass,,<h3>Cibra</h3> 1] uraa,,,,,,,,
cough,,<h3>Gochima</h3> 1] qufa'uu,,,,,,,,
coughing,,<h3>Cibra</h3> 1] qufaa,,,,,,,,
council,,"<h3>Cibra</h3> 1] Caffee, mana maree",,,,,,,,
councilor,,<h3>Cibra</h3> 1] miseensa caffee,,,,,,,,
counsel,,"<h3>Gochima</h3> 1] gorsuu (gorsa angaraan, beekaadhaan kennamu)",,,,,,,,
counselor,,"<h3>Cibra</h3> 1] ogeessa gorsa kennu, mari'achiisaa, makkala 2] abukaattoo",,,,,,,,
count,,<h3>Gochima</h3> 1] lakkaa'uu,,,,,,,,
Count (ICT),,"<h3>Gochima/Cibra</h3> 1] Lakkaa’a, Lakkaa’i, Lakkaa’uu, Lakkoofsa, Lakkaa’i, (ICT, Jecha Kompiitaraa)",,,,,,,,
countenance,,"<h3>Cibra</h3> 1] miira fuula namaa irratti mul'atu, qummaaddii (kan gaddaa, gammachuu...) 2] deeggersa <h3>Gochima</h3> 1] deggeruu",,,,,,,,
counter,,<h3>Cibra</h3> 1] lakkooftuu,,,,,,,,
Counter (ICT),,"<h3>Cibra</h3> 1] Deebisuu, Lakkaa’aa, (ICT, Jecha Kompiitaraa)",,,,,,,,
counter blast,,<h3>Cibra</h3> 1] deebii jabaa,,,,,,,,
counter-espionage,,<h3>Cibra</h3> 1] tarkaanfii iccitiidhaan gochaa basaastoota diinaa irratti fudhatamu,,,,,,,,
counter-intelligence,,<h3>Cibra</h3> 1] biyyi diinaa odeeffannoo iccitii akka hin arganne gochuu (odeeffannoo kijibaa kennuu dhaan ),,,,,,,,
counterfeit,,<h3>Cibra</h3> 1] uummata gowwoomsuuf maallaqa fakkeeffamee hojjetame,,,,,,,,
counterfoil,,<h3>Maqibsa</h3> 1] gowwoomsuuf yookiin waliin dha'uuf jecha maallaqa fakkeeffamee hojjetame,,,,,,,,
countermand,,<h3>Gochima</h3> 1] ajaja duraan kenname haquu (kees. ajaja haaraa fi faallaa isa duraa ta'e kennuudhaan ),,,,,,,,
countless,,"<h3>Maqibsa</h3> 1] lakkoobsa kan hin qabne, hedduu",,,,,,,,
country,,<h3>Cibra</h3> 1] biyya,,,,,,,,
Country Code (ICT),,"<h3>Cibra</h3> 1] Lakkadda Biyyaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
countryman,,<h3>Cibra</h3> 1] abbaa biyyaa,,,,,,,,
countryside,,<h3>Cibra</h3> 1] baadiyyaa,,,,,,,,
coup,,<h3>Cibra</h3> 1] fonqolcha mootummaa 2] tarkaanfii milkaa'aa fi dinqisiisaa,,,,,,,,
coupe,,<h3>Cibra</h3> 1] makiinaa balbala lamaa,,,,,,,,
couple,,<h3>Cibra</h3> 1] namoota lama kan akka dhirsaa fi niititt ilaalaman 2] wantoota lama,,,,,,,,
couplet,,<h3>Cibra</h3> 1] walaloo toora lamaa,,,,,,,,
coupling,,<h3>Cibra</h3> 1] wantoota lama walitti qabsiisuu,,,,,,,,
coupon,,"<h3>Cibra</h3> 1] kuuppoonii, tikeetii",,,,,,,,
courage,,"<h3>Cibra</h3> 1] gootummaa, jabina, cimina",,,,,,,,
courageous,,"<h3>Maqibsa</h3> 1] gura-kuteessa, gara-kuteettii, goota",,,,,,,,
courgette,,<h3>Cibra</h3> 1] kuduraa gosa dabaaqulaa/buqqee (Kan nyaatamu),,,,,,,,
courier,,"<h3>Cibra</h3> 1] nama turistootatti waa akka agarsiisuuf miindeeffame 2] ergamaa, ergamtuu 3] Kaampaanii ergaa fuudhu. 4] Kaampaanii mi'a garaagaraa geejibsiisu. 5] (interneetii) fayyadamaa waan adda ta'e tokko interneetii irratti fe'ee qarshii argatu.",,,,,,,,
Courier (ICT),,"<h3>Cibra</h3> 1] Koriyeerii, (fayyadamaa waan adda ta'e tokko interneetii irratti fe'ee qarshii argatu.) (ICT, Jecha Kompiitaraa)",,,,,,,,
course,,"<h3>Cibra</h3> 1] Xurree yookiin kallattii doonii, xiyyaarri yookiin bishaanni fi kanneen fakkaatan irra adeeman 2] gosa barnootaa yeroo murtaa'etti baratan 3] dirree golfii itti xabatan",,,,,,,,
court,,"<h3>Cibra</h3> 1] mana murti, dhaddacha",,,,,,,,
court-martial,,<h3>Cibra</h3> 1] mana murtii loltuu,,,,,,,,
courteous,,"<h3>Maqibsa</h3> 1] amala qabeessa, kan ulfina namaa kennuu beeku",,,,,,,,
courtesan,,"<h3>Cibra</h3> 1] gumna, sagaagaltuu, namoota sossooreeyyii ta'an wajjin saalquunnamtii raaw'attu",,,,,,,,
courtesy,,<h3>Cibra</h3> 1] amala gaarii,,,,,,,,
courtier,,<h3>Cibra</h3> 1] mootii yookiin haadha manaa mootichaatiif nama gorsa kennu,,,,,,,,
courtly,,"<h3>Maqibsa</h3> 1] amala-qabeessa, kasoo",,,,,,,,
courtroom,,<h3>Cibra</h3> 1] dhaddacha,,,,,,,,
courtship,,<h3>Cibra</h3> 1] hariiroo jabaa adda ta'e uumuu (kees. wal fuudhuuf) 2 deggersa argachuuf yaalii gochuu,,,,,,,,
courtyard,,<h3>Cibra</h3> 1] lafa dallaa keessa jiru,,,,,,,,
cousin,,<h3>Cibra</h3> 1] durbii,,,,,,,,
cove,,<h3>Cibra</h3> 1] galoo galaanaa xinnoo 2] nama (dhira),,,,,,,,
covenant,,"<h3>Cibra</h3> 1] irbuu, waadaa, kakuu 2] waliigaltee",,,,,,,,
cover,,"<h3>Cibra</h3> 1] qadaaddii, qadaada <h3>Gochima</h3> 1] uwwisuu, haguuguu, qadaaduu",,,,,,,,
Cover Page (ICT),,"<h3>Cibra</h3> 1] Duraantoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
coverage,,<h3>Cibra</h3> 1] facaatii,,,,,,,,
covered,,"<h3>Maqibsa</h3> 1] haguugamaa, haguugamtuu, uwwifamaa, uwwifamtuu",,,,,,,,
covering,,"<h3>Cibra</h3> 1] qadaada, qadaddii, uwwisaa, golgaa",,,,,,,,
coverlet,,<h3>Cibra</h3> 1] uffata siree kan faayaa qabu,,,,,,,,
covert,,"<h3>Maqibsa</h3> 1] iccitii, dhokataa 2] saaxoo, daggala, huuxii ( kan bineeyyiin adamsaman keessa dhokatan)",,,,,,,,
covet,,"<h3>Cibra</h3> 1] hawwuu, dharra'uu, jomoma'uu",,,,,,,,
cow,,"<h3>Cibra</h3> 1] saawwa, sa'a",,,,,,,,
coward,,"<h3>Maqibsa</h3> 1] albaadhessa, albaadhettii, sodaattu, sodaattuu, dabooroo, xeellaa, lugna",,,,,,,,
cowardice,,"<h3>Cibra</h3> 1] sodaa, lugnummaa, xeellummaa",,,,,,,,
cower,,"<h3>Gochima</h3> 1] mataa gombisuu, duubatti dheesuu",,,,,,,,
cowman,,<h3>Cibra</h3> 1] tiksituu loonii,,,,,,,,
cowry,,<h3>Cibra</h3> 1] elellaa,,,,,,,,
coy,,<h3>Maqibsa</h3> 1] nama ija laafeessa fakkaatu garuummoo qalbiin namootaa isatti hawatamuusaatti kan gammadu,,,,,,,,
crab,,"<h3>Cibra</h3> 1] qaajjibbuu, uumama qurxummii fakkaatu milla kudhan qabu kan galaana keessa jiraatu",,,,,,,,
crack,,"<h3>Gochima</h3> 1] baqaquu, boroqqoquu, dho'uu (keenyan manaatiif) 2] quba quwaasuu",,,,,,,,
cracked,,<h3>Maqibsa</h3> 1] boroqqoqamaa,,,,,,,,
cracker,,<h3>Cibra</h3> 1] gosa biskutii gogaa 2] richiitii sagalee guddaa dhageessisu 3] Waanta namni dinqisiifatu,,,,,,,,
Cracker (ICT),,"<h3>Cibra</h3> 1] Hatuxxee, Hatuxxee, (ICT, Jecha Kompiitaraa)",,,,,,,,
crackerjack,,<h3>Cibra</h3> 1] nama dandeettii isaatiin adda ta'e,,,,,,,,
crackers,,<h3>Maqibsa</h3> 1] maraatuu,,,,,,,,
crackle,,<h3>Gochima</h3> 1] xaaxessuu,,,,,,,,
crackpot,,"<h3>Maqibsa</h3> 1] tuqamaa, tuqamtuu",,,,,,,,
cradle,,<h3>Cibra</h3> 1] siree daa'imaa 2] bakka waanti tokko itti jalqabe 3] waltajjii iddoodhaa iddoottii sochoosuun danda'amu 4] kutaa qaama bilbilaa bakka qabannoon irra kaa'amu,,,,,,,,
craft,,<h3>Cibra</h3> 1] ogummaa,,,,,,,,
craftsman,,<h3>Cibra</h3> 1] nama ogummaa harkaa beeku,,,,,,,,
craftswoman,,<h3>Cibra</h3> 1] dubartii harkaan waa tolchuu beektu (ogeettii),,,,,,,,
crafty,,"<h3>Maqibsa</h3> 1] haxxee, dira'aa, diraatuu, gowwoomsituu",,,,,,,,
crag,,<h3>Cibra</h3> 1] kattaa,,,,,,,,
crale,,<h3>Cibra</h3> 1] Saanduqa mukaa guddaa,,,,,,,,
cram,,<h3>Cibra</h3> 1] udumuu,,,,,,,,
crammed,,"<h3>Maqibsa</h3> 1] ukaa, uktuu",,,,,,,,
cramp,,"<h3>Cibra</h3> 1] qiiqqee (meeluu yeroo xiqqoof meelatan), <h3>Gochima</h3> 1] akka waa hin sochoone dhorkuu yookiin duubatti harkisuu",,,,,,,,
crane,,<h3>Cibra</h3> 1] maashinii meeshaalee gurguddoolii kaasuuf gargaaru 2] gosa simbirroo miilaa fi morma dheeraa qabdu,,,,,,,,
crank,,<h3>Cibra</h3> 1] nama maraatuu fakkaatu kan yaada adda ta'e dhiheessu 2] sibiila waa ittiin naannessan,,,,,,,,
cranny,,<h3>Cibra</h3> 1] uraa yookiin boolla xiqqoo (kan keenyan manaa),,,,,,,,
crap,,"<h3>Gochima</h3> 1] udaan haguu <h3>Cibra</h3> 1] udaan, bobbaatii 2] waan faayidaa hin qabne, hurraa, shokorkota, kosii",,,,,,,,
crape,,<h3>Cibra</h3> 1] huccuu haphii shushuntuuraa fakkaatu 2] gosa gomma laastikii soolii kophee ta'u,,,,,,,,
crash,,"<h3>Gochima</h3> 1] timuu, rukutuu 2] unkutaa'uu, hurraa'uu 3] sagalee jabaa dhageessisuu 4] gatiin gad kufuu (kan. dhaabbata daldalaa fi kkf)",,,,,,,,
Crash (ICT),,"<h3>Cibra</h3> 1] Halakuu, Halakuu, (ICT, Jecha Kompiitaraa)",,,,,,,,
Crash Consistency (ICT),,"<h3>Cibra</h3> 1] Dilbina Mirkanessaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
crass,,"<h3>Maqibsa</h3> 1] Jufunfula, raatuu, daafura, Kan waa hin galleef",,,,,,,,
crater,,"<h3>Cibra</h3> 1] boollangoo, (boolla kan bantii tulluu irratti burkaanaan qotame)",,,,,,,,
cravat,,<h3>Cibra</h3> 1] karabaatii,,,,,,,,
crave,,"<h3>Cibra</h3> 1] gojomii guddaa, dharraa ol'aana <h3>Gochima</h3> 1] gomja'uu, dharra' uu",,,,,,,,
craven,,"<h3>Maqibsa</h3> 1] sodaadhaan, xeellummaadhaan, albaadheessummaadhaan",,,,,,,,
craving,,<h3>Cibra</h3> 1] kajeella,,,,,,,,
crawl,,"<h3>Gochima</h3> 1] daa'imuu, shunququu, lo'uu.",,,,,,,,
crawling,,"<h3>Maqibsa</h3> 1] Curruuqaa, curruuqxuu, munyuuqaa (waanta harkifamu)",,,,,,,,
crayon,,<h3>Cibra</h3> 1] irsaasii halluu garaagaraa qubu kan fakkii ittiin kaasan,,,,,,,,
craze,,<h3>Cibra</h3> 1] waan sinsinnii (kan yeroo gabaabaa kophaadhaaf turu),,,,,,,,
crazy,,"<h3>Maqibsa</h3> 1] ajuuzaa, jufunfula",,,,,,,,
creak,,<h3>Gochima</h3> 1] sixixuu (sireedhaaf),,,,,,,,
cream,,"<h3>Cibra</h3> 1] qarruu, aannan wayita danfisan irratti kan kantaru. 2] nyaata kan waan qarruu fakkaatu qabu 3] quyyifata miidhaginaaf yookiin qorichummaaf dhagna irratti dibatan <h3>Gochima</h3> 1] kuduraa affeelamaa, keessattuu waan akka dinnichaa bulleessanii aannanii fi dhadhaa wajjin walitti makuu/rukutuu",,,,,,,,
crease,,<h3>Gochima</h3> 1] shuntuuruu,,,,,,,,
creased,,"<h3>Maqibsa</h3> 1] goofanyii, tattaa'ii",,,,,,,,
create,,<h3>Gochima</h3> 1] Uumuu,,,,,,,,
Create (ICT),,"<h3>Gochima</h3> 1] Uumi, Uumi, (ICT, Jecha Kompiitaraa)",,,,,,,,
Create New (ICT),,"<h3>Gochima</h3> 1] Haaraa Uumi, (ICT, Jecha Kompiitaraa)",,,,,,,,
Create Shortcut (ICT),,"<h3>Gochima</h3> 1] Quxxamura Uumi, (ICT, Jecha Kompiitaraa)",,,,,,,,
creation,,<h3>Cibra</h3> 1] uumama,,,,,,,,
creative,,<h3>Maqibsa</h3> 1] kan waa uumuu danda'u,,,,,,,,
creator,,<h3>Cibra</h3> 1] uumaa,,,,,,,,
Creator (ICT),,"<h3>Maqibsa</h3> 1] Uumaa, Uumaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
creature,,<h3>Cibra</h3> 1] uumama,,,,,,,,
credence,,<h3>Cibra</h3> 1] waanti tokko dhugaa ta'uusaa amanuu,,,,,,,,
credentials,,"<h3>Cibra</h3> 1] ragaa 2] beekumsa, dandeettii, ga'umsa (Waa'ee nama tokkoo kan mirkaneessan)",,,,,,,,
credible,,"<h3>Maqibsa</h3> 1] kan amanamu, amansiisaa",,,,,,,,
credit,,"<h3>Cibra</h3> 1] Ceegoo, gulbata, ganshoo, duubee",,,,,,,,
Credit Card (ICT),,"<h3>Cibra</h3> 1] Kaardii Liqaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
creditor,,<h3>Cibra</h3> 1] liqeessituu,,,,,,,,
credo,,"<h3>Cibra</h3> 1] ilaalcha, amantii",,,,,,,,
credulity,,<h3>Cibra</h3> 1] waan tokko dafanii amanuu,,,,,,,,
credulous,,<h3>Maqibsa</h3> 1] nama dafee waa amanu,,,,,,,,
creech,,<h3>Gochima</h3> 1] caraanuu,,,,,,,,
creed,,"<h3>Cibra</h3> 1] amantii, dhugeeffannaa 2] sagada, daadimannaa, kadhata",,,,,,,,
creek,,<h3>Cibra</h3> 1] laga xinnoo,,,,,,,,
creel,,<h3>Cibra</h3> 1] Kalloo qurxummii keessa kaa'an,,,,,,,,
creep,,"<h3>Gochima</h3> 1] qaxxisuu (gugguufanii, akka hin mul'annetti) 2] lafa irra lo'uu yookin muka irratti ol ba'uu",,,,,,,,
creepy,,"<h3>Maqibsa</h3> 1] sodaachisaa, suukanneessaa",,,,,,,,
cremate,,<h3>Cibra</h3> 1] reeffa gubuu,,,,,,,,
cremation,,<h3>Cibra</h3> 1] reeffa gubuu,,,,,,,,
crematorium,,<h3>Cibra</h3> 1] gamoo/jaarmaa reeffa keessatti guban,,,,,,,,
crescendo,,<h3>Cibra</h3> 1] sagalee muuziqa suuta ol fuudhuu 2] Sagalee ol fuudhuu 3] tibba hojiin itti baay'atu,,,,,,,,
crescent,,"<h3>Cibra</h3> 1] elellee, innika, baatii, addeessa reefu baatu",,,,,,,,
cress,,"<h3>Cibra</h3> 1] kuduraa salaaxaa fakkaatu, feexoo",,,,,,,,
crest,,"<h3>Cibra</h3> 1] fiixee tulluu 2] faajjii 3] guttiyyaa, guutuu handaaqqoo, cuggee, tuttoo 4] oomacha adii fiixee dhahaa galaanaarraa mul'atu",,,,,,,,
crestfallen,,<h3>Maqibsa</h3> 1] waan eegee ture argachuu dhabuusaatti kan gadde,,,,,,,,
cretin,,"<h3>Maqibsa</h3> 1] jufunfula, raatuu",,,,,,,,
crevasse,,<h3>Cibra</h3> 1] baqaqaa (kan lafaa yookiin kan cabbii),,,,,,,,
crevice,,<h3>Cibra</h3> 1] baqaqaa qalloo dhagaa yookiin keenyan manaarraa mul'atu,,,,,,,,
crew,,"<h3>Cibra</h3> 1] namoota xiyyaara, doonii fi kanneen fakkaatan keessaa hojjetan",,,,,,,,
crib,,<h3>Cibra</h3> 1] Siree daa'imaa 2] bidiruu nyaata loonii itti kuusan 3] waan tokko hubachuuf yookin yaadachuuf waan itti gargaaraman 4] Waanta hannaan hojii namaa irraa garagalchan (fak qormaata),,,,,,,,
crick,,<h3>Cibra</h3> 1] goggoguu mormaa (haala akka mormi hin sochoone godhu),,,,,,,,
cricket,,"<h3>Cibra</h3> 1] corrisaa 2] quuftuu, farda waaqaa (Gosa awwaannisaa) 3, Burii, Qillee",,,,,,,,
crime,,"<h3>Cibra</h3> 1] wanjala, yakka",,,,,,,,
criminal,,"<h3>Cibra</h3> 1] yakkamaa, yukkamtuu",,,,,,,,
crimp,,<h3>Gochima</h3> 1] xixinneessanii dachaasuu (waraqataa fi kkf) 2] rifeensa dadachaasuu (sibiila o'aadhaan),,,,,,,,
crimson,,"<h3>Maqibsa</h3> 1] diimaa biluu, (kan baayyee dammaqu)",,,,,,,,
cringe,,<h3>Gochima</h3> 1] sodaatanii duubatti dheessuu,,,,,,,,
crinkle,,<h3>Cibra</h3> 1] shuntuuraa,,,,,,,,
cripple,,"<h3>Cibra</h3> 1] naafa, nama sirritti adeemuu hin dandeenye",,,,,,,,
crippled,,"<h3>Maqibsa</h3> 1] naafa, lawwaasha'aa, lawwaashoftuu, fafaa",,,,,,,,
crisis,,"<h3>Cibra</h3> 1] jeequmsa, goolii, yeroo rakkisaa",,,,,,,,
crisp,,"<h3>Maqibsa</h3> 1] gogaa, Iaafaatti kan cabu 2] gogaa garuummoo kan qorru (qilleensaaf) 3] ifa, hubachuuf kan nama hin rakkisne 4] si'aawaa, ofirratti amantii kan qabu",,,,,,,,
Criteria (ICT),,"<h3>Cibra</h3> 1] Ulaagaa, Ulaagaalee, Ulaagaalee, (ICT, Jecha Kompiitaraa)",,,,,,,,
criterion,,<h3>Cibra</h3> 1] ulaagaa,,,,,,,,
Criterion (ICT),,"<h3>Cibra</h3> 1] Ulaagaa, Ulaagaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
critic,,"<h3>Cibra</h3> 1] ajiifataa, ajiifattuu, callisee kan qeeqa dhiyeessu",,,,,,,,
critical,,"<h3>Maqibsa</h3> 1] yaachisaa, murteessaa",,,,,,,,
Critical Error (ICT),,"<h3>Cibra</h3> 1] Dogoggora Cimaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
criticism,,"<h3>Cibra</h3> 1] ajiifannoo, Ceephoo, ajiifata, qeeqannoo",,,,,,,,
criticize,,"<h3>Gochima</h3> 1] ceepha'uu, qeequu",,,,,,,,
critique,,"<h3>Cibra</h3> 1] qeeqannoo, ceephoo",,,,,,,,
croak,,"<h3>Gochima</h3> 1] Corrisuu, iyyuu (simbirroof, raachaaf) 2] Sagalee moorsaa yookiin Sagalee furdaadhaan dubbachuu 3] du'uu",,,,,,,,
Croatia,,"<h3>Maqqofee</h3> 1] Kirooshiyaa, maqaa biyyaati.",,,,,,,,
crock,,"<h3>Cibra</h3> 1] waabaa. huubboo guddaa 2] meeshaalee waan itti nyatanii fi dhugan kanneen suphee irraa tolfaman 3] makiinaa dulloomaa 4, nama dulloomaa",,,,,,,,
crockery,,"<h3>Cibra</h3> 1] shaanii, sinii fi kkf (kees, Suuphee irraa Kan tolfaman)",,,,,,,,
crocodile,,<h3>Cibra</h3> 1] naacha,,,,,,,,
crone,,<h3>Maqibsa</h3> 1] Jaartii/beera jubbisiiftuu,,,,,,,,
crony,,"<h3>Cibra</h3> 1] michuu, iriyaa (kan baay'ee itti dhihaatan)",,,,,,,,
crook,,"<h3>Cibra</h3> 1] yakkamaa 2, nama hin amanamne 2] ulee dheeraa kan fiixee irraa okkoo qabu <h3>Gochima</h3> 1] dachaasuu (quba, irree)",,,,,,,,
crooked,,"<h3>Maqibsa</h3> 1] dabaa, micciiramaa, micciiramtuu, shalaaltuu 2] kan hin amanamne, seeraala",,,,,,,,
croon,,"<h3>Gochima</h3> 1] alalaasuu, Weeddisuu",,,,,,,,
crooner,,"<h3>Cibra</h3> 1] weeddisaa, Weeddistuu, alalaasaa",,,,,,,,
crop,,"<h3>Cibra</h3> 1] midhaan, sabsiiba",,,,,,,,
Crop (ICT),,"<h3>Cibra</h3> 1] Soofuu, Soofuu, (ICT, Jecha Kompiitaraa)",,,,,,,,
Crop Mark (ICT),,"<h3>Cibra</h3> 1] Mallattoo Soofaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
cross,,"<h3>Cibra</h3> 1] fannoo 2] we'eela, diqaalaa, maxiiqaa 3] rakkina, waan madda gaddaa ta'e. <h3>Gochima</h3> 1] qaxxaamuruu, ce'uu 2] wal bira darbuu 3] xaba irratti kuphaa qaarisiisanii kennuu 4] wayiratti sarara dalgaa tolchuu 5] yaada yookiin karoora namaatiin mormanii dubbachuu <h3>Maqibsa</h3> 1] dallanaa",,,,,,,,
Cross (ICT),,"<h3>Cibra</h3> 1] Akeektuu, Fannoo, Noofta, Akeektuu, (ICT, Jecha Kompiitaraa)",,,,,,,,
Cross Platform Fonts (ICT),,"<h3>Cibra</h3> 1] Bocqubee Halmaraa, (ICT, Jecha Kompiitaraa)",,,,,,,,
cross-breed,,<h3>Cibra</h3> 1] biqiltuulee yookiin neefkaalee sanyii garaagaraa waliin we'eelchuudhaan biqiltuulee yookiin Sanyiilee argaman,,,,,,,,
cross-examinationu,,"<h3>Cibra</h3> 1] qorqortii, dalaafii, gaaffii qaxxaamuraa",,,,,,,,
cross-eyed,,"<h3>Maqibsa</h3> 1] kalaabsuu, qurree, ballaa",,,,,,,,
Cross-Reference (ICT),,"<h3>Cibra</h3> 1] Waabeffannaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
cross-roads,,<h3>Cibra</h3> 1] bakka daandileen lama itti wal-qaxxaamuran,,,,,,,,
crossbar,,<h3>Cibra</h3> 1] sibiila dalga ciisu kan sibiilota bitaa fi mirgarra jiran walitti qabsisu,,,,,,,,
crossing,,<h3>Cibra</h3> 1] bakka daandin lama itti wal quxxaamuran,,,,,,,,
Crosstab Query (ICT),,"<h3>Cibra</h3> 1] Gaafata Gamlamee, (ICT, Jecha Kompiitaraa)",,,,,,,,
crouch,,"<h3>Gochima</h3> 1] quphanuu, gunnufachuu",,,,,,,,
crow,,"<h3>Cibra</h3> 1] arraagessa, araakoo",,,,,,,,
crowbar,,"<h3>Cibra</h3> 1] faxaa, sibiila saanduqa ittiin banan yookin immoo kan meeshaa ulfaataa ittiin sochoosan",,,,,,,,
crowd,,<h3>Cibra</h3> 1] uummata baay'inaan bakka tokkotti walitti qabaman 2] daaw'ataa hedduu,,,,,,,,
crowing,,"<h3>Cibra</h3> 1] waacila, jeekkara",,,,,,,,
crown,,<h3>Cibra</h3> 1] gonfoo mataa,,,,,,,,
crucial,,<h3>Maqibsa</h3> 1] baay'ee barbaachisaa,,,,,,,,
crucible,,<h3>Cibra</h3> 1] meeshaa sibiila keessatti baqsan 2] qorumsa jabaa,,,,,,,,
crucifix,,<h3>Cibra</h3> 1] fannoo akkiyyaa/moodeelii (kan Yesus irraitti fannifamee jiru),,,,,,,,
crucifixion,,"<h3>Cibra</h3> 1] fannifama, fannoo",,,,,,,,
crucify,,<h3>Gochima</h3> 1] fannisuu 2] adabuu,,,,,,,,
crude,,"<h3>Maqibsa</h3> 1] kan hin miiramne, jikita/(difdifa) 2] sirriitti waan hin tolfamne, sirritti kan hin ibsamne 3] addaggee",,,,,,,,
cruel,,"<h3>Maqibsa</h3> 1] gara-jabeessa, gara-jabeettii, hamaa, hamtuu",,,,,,,,
cruelty,,"<h3>Cibra</h3> 1] hammeenya, hammina, gara-jabina",,,,,,,,
cruet,,"<h3>Cibra</h3> 1] meeshaa xinnoo Waan akka ashaboo, mimmixa, zayita fi kkf keessa kaa'an",,,,,,,,
cruise,,<h3>Gochima</h3> 1] dooniidhaan galaanarra asii fi achi deddeebi'uu (bashannanaa fi yookiin doonii diinaa adamsuuf) 2] kaayyoo ofi salphaatti iddoon ga'uu 3] sardamsuun deemuu,,,,,,,,
cruise missile,,<h3>Cibra</h3> 1] misaayilii xiyyaa nuklarii qabu kan Kompiyutarii mataasaatiin oofamu,,,,,,,,
cruiser,,<h3>Cibra</h3> 1] doonii waraanaa guddaa,,,,,,,,
crumb,,<h3>Cibra</h3> 1] hambaa (kan nyaataa),,,,,,,,
crumble,,"<h3>Gochima</h3> 1] caccabsuu, unkuteessuu, faffatuu",,,,,,,,
crummy,,"<h3>Maqibsa</h3> 1] samaa, kan namatti hin tolle",,,,,,,,
crumple,,"<h3>Gochima</h3> 1] wayitti rukutamuu yookiin waan ta'e wajjin walitti bu'uu 2] tasa dadhabuu, kufuu",,,,,,,,
crunch,,"<h3>Cibra</h3> 1] ququmsuu, qarcacuu",,,,,,,,
crusade,,<h3>Cibra</h3> 1] Musilimoonni lafa qulqulluu Kiristaanotaa akka hin qabanneef jecha waraana bara giddu galeessaa Kiristaanota Awurooppaa fi Musliimota gidduutti adeemsifame,,,,,,,,
crush,,"<h3>Gochima</h3> 1] barbadeessuu, dhabamsiisuu 2] caccabsuu, bulleessuu <h3>Cibra</h3> 1] hoomaa namaa bakka tokkotti guujja'ee jiru 2] gosa cuunfaa (fuduraa irraa kan tolfamu)",,,,,,,,
crust,,<h3>Cibra</h3> 1] solloqqee,,,,,,,,
crusty,,<h3>Maqibsa</h3> 1] dafee kan aaru,,,,,,,,
crutch,,"<h3>Cibra</h3> 1] irkoo, dhadhaabbata (nama miilli cabeef)",,,,,,,,
crux,,<h3>Cibra</h3> 1] ijoo dubbii,,,,,,,,
cry,,"<h3>Gochima</h3> 1] iyyuu, wacuu 2] boo'uu, nyonyoluu <h3>Cibra</h3> 1] iyya 2] boo'ieha",,,,,,,,
crying,,<h3>Cibra</h3> 1] booyicha,,,,,,,,
crypt,,<h3>Cibra</h3> 1] kutaa mana sagadaa jala jiru bakka nama itti awwaalan yookin itti waaqeffatan,,,,,,,,
cryptic,,"<h3>Maqibsa</h3> 1] iccitaawaa, kan salphaatti hubachuun hin danda'amne",,,,,,,,
Cryptography (ICT),,"<h3>Cibra</h3> 1] Icciteenya, (ICT, Jecha Kompiitaraa)",,,,,,,,
crystal,,"<h3>Cibra</h3> 1] baalcii, dhagaa daawwitii fi naduraan garaagaraa irraa hojjetamu",,,,,,,,
Ctrl Key (ICT),,"<h3>Cibra</h3> 1] Furtuu Too’annaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
cub (lion),,"<h3>Cibra</h3> 1] kubla, kublee, saafela",,,,,,,,
Cuba,,"<h3>Maqqofee</h3> 1] Kuubaa, maqaa biyyaati.",,,,,,,,
cube,,<h3>Cibra</h3> 1] boca roga ja'a qabu,,,,,,,,
Cube (ICT),,"<h3>Cibra</h3> 1] Kuubii, Kuubii, (ICT, Jecha Kompiitaraa)",,,,,,,,
cubicle,,<h3>Cibra</h3> 1] Kutaalee xixinnoo kutaa guddicha addaan hiruudhaan hojjetaman,,,,,,,,
cubit,,<h3>Cibra</h3> 1] dhundhuma,,,,,,,,
cuckold,,<h3>Cibra</h3> 1] dhirsa kan haati manaa isaa nama kan biraa wajjin saalquunnamtii raaw'atte,,,,,,,,
cuckoo,,"<h3>Cibra</h3> 1] kiilolee (gosa simbirroo) <h3>Maqibsa</h3> 1] gowwaa, maraatuu",,,,,,,,
cucumber,,<h3>Cibra</h3> 1] dabaaqula faranjii,,,,,,,,
cud,,<h3>Cibra</h3> 1] alala,,,,,,,,
cuddle,,<h3>Gochima</h3> 1] hammachuu (jabeessanii),,,,,,,,
cudgel,,"<h3>Cibra</h3> 1] muquxxaayii, buttujji, dullaa",,,,,,,,
cue,,<h3>Cibra</h3> 1] mallattoo (namni tokko Waa akka hojjetuuf kan ittiin yaadachiisan) 2] ulee biliyaardii ittiin xabatan,,,,,,,,
